stage_id,race_id,race_name,race_date,stage_date,stage_name,stage_number,stage_type,classification,nation,race_link,stage_link,race_category,stage_points_scale,stage_ranking,profile_score,parcours_type,parcours_type_name,pcs_city_start,pcs_city_finish,start_time,avg_speed_winner,distance,elevation_gain,elevation_loss,elevation_average,elevation_maximum,elevation_minimum,temp_avg,temp_max,temp_min,_1000_to_1500_m,_1500_to_2000_m,_2000_to_2500_m,_2500_to_3000_m,_3000_to_3500_m,race_total_distance,race_total_elevation_gain
394,229,National Championships Uruguay WE - Road Race,2022-03-13,2022-03-13,One day race,,One day race,NC,uy,https://www.procyclingstats.com/race/national-championships-uruguay-we-road-race/2022,https://www.procyclingstats.com/race/national-championships-uruguay-we-road-race/2022,WE - Women Elite,F-NC,187,,0,,Maldonado,Maldonado,,36.49,95000.0,,,,,,,,,,,,,,,
395,230,national Championships Argentina U23 - ITT,2022-04-14,2022-04-14,Time trial,,Time trial,NC,ar,https://www.procyclingstats.com/race/nc-argentina-u23-itt/2022,https://www.procyclingstats.com/race/nc-argentina-u23-itt/2022,MU - Men U23,,138,,0,,San Juan,San Juan,,46.708,29400.0,,,,,,,,,,,,,,,
396,231,National Championships Argentina U23 - Road Race,2022-04-16,2022-04-16,One day race,,One day race,NC,ar,https://www.procyclingstats.com/race/nc-argentina-u23/2022,https://www.procyclingstats.com/race/nc-argentina-u23/2022,MU - Men U23,,139,,0,,San Juan,San Juan,,,138000.0,,,,,,,,,,,,,,,
397,232,National championships Australia MU23 - ITT,2022-01-12,2022-01-12,Time trial,,Time trial,NC,au,https://www.procyclingstats.com/race/nc-australia-u23-itt/2022,https://www.procyclingstats.com/race/nc-australia-u23-itt/2022,MU - Men U23,,130,,0,,Ballarat,Ballarat,,45.719,28600.0,,,,,,,,,,,,,,,
398,233,National Championships Australia U23 - Road Race,2022-01-15,2022-01-15,One day race,,One day race,NC,au,https://www.procyclingstats.com/race/nc-australia-u23/2022,https://www.procyclingstats.com/race/nc-australia-u23/2022,MU - Men U23,,130,,0,,Buninyong,Buninyong,,38.868,139200.0,,,,,,,,,,,,,,,
399,234,National Championships Bolivia U23 - ITT,2022-03-25,2022-03-25,Time trial,,Time trial,NC,bo,https://www.procyclingstats.com/race/nc-bolivia-u23-itt/2022,https://www.procyclingstats.com/race/nc-bolivia-u23-itt/2022,MU - Men U23,,133,,0,,,,,,,,,,,,,,,,,,,,,
400,235,National Championships Bolivia U23 - Road Race,2022-03-26,2022-03-26,One day race,,One day race,NC,bo,https://www.procyclingstats.com/race/nc-bolivia-u23/2022,https://www.procyclingstats.com/race/nc-bolivia-u23/2022,MU - Men U23,,135,,0,,,,,,,,,,,,,,,,,,,,,
401,236,National Championships Chile U23 - ITT,2022-04-01,2022-04-01,Time trial,,Time trial,NC,cl,https://www.procyclingstats.com/race/nc-chile-u23-itt/2022,https://www.procyclingstats.com/race/nc-chile-u23-itt/2022,MU - Men U23,,56,,0,,,,,,,,,,,,,,,,,,,,,
402,237,National Championships Colombia U23 - ITT,2022-02-10,2022-02-10,Time trial,,Time trial,NC,co,https://www.procyclingstats.com/race/nc-colombia-u23-itt/2022,https://www.procyclingstats.com/race/nc-colombia-u23-itt/2022,MU - Men U23,,130,,0,,Risaralda,Risaralda,,50.545,32700.000000000004,,,,,,,,,,,,,,,
403,238,National Championships Colombia U23 - Road Race,2022-02-12,2022-02-12,One day race,,One day race,NC,co,https://www.procyclingstats.com/race/nc-colombia-u23/2022,https://www.procyclingstats.com/race/nc-colombia-u23/2022,MU - Men U23,,130,,0,,Pereira,Pereira,,,158400.0,,,,,,,,,,,,,,,
404,239,National Championships Ecuador U23 - ITT,2022-02-18,2022-02-18,Time trial,,Time trial,NC,ec,https://www.procyclingstats.com/race/national-championships-ecuador-u23-itt/2022,https://www.procyclingstats.com/race/national-championships-ecuador-u23-itt/2022,MU - Men U23,,130,,0,,Mitad del Mundo,Mitad del Mundo,,46.86,28600.0,,,,,,,,,,,,,,,
405,240,National Championships Ecuador U23 - Road Race,2022-02-20,2022-02-20,One day race,,One day race,NC,ec,https://www.procyclingstats.com/race/nc-ecuador-u23/2022,https://www.procyclingstats.com/race/nc-ecuador-u23/2022,MU - Men U23,,130,,0,,Quito,Quito,,43.58,153600.0,,,,,,,,,,,,,,,
406,241,National championships Namibia MU23 - ITT,2022-02-04,2022-02-04,Time trial,,Time trial,NC,na,https://www.procyclingstats.com/race/national-championships-namibia-u23-itt/2022,https://www.procyclingstats.com/race/national-championships-namibia-u23-itt/2022,MU - Men U23,,130,,0,,Windhoek,Windhoek,,43.17,40800.0,,,,,,,,,,,,,,,
407,242,National championships New Zealand MU23 - ITT,2022-02-11,2022-02-11,Time trial,,Time trial,NC,nz,https://www.procyclingstats.com/race/nc-new-zealand-itt-u23/2022,https://www.procyclingstats.com/race/nc-new-zealand-itt-u23/2022,MU - Men U23,,28,,0,,Cambridge,Cambridge,,47.339,42500.0,,,,,,,,,,,,,,,
408,243,National Championships South Africa U23 - ITT,2022-02-11,2022-02-11,Time trial,,Time trial,NC,za,https://www.procyclingstats.com/race/nc-south-africa-u23-itt/2022,https://www.procyclingstats.com/race/nc-south-africa-u23-itt/2022,MU - Men U23,,130,,0,,Graskop,Graskop,,38.27,30000.0,,,,,,,,,,,,,,,
409,244,National Championships United Arab Emirates U23 - ITT,2022-03-04,2022-03-04,Time trial,,Time trial,NC,ae,https://www.procyclingstats.com/race/national-championships-united-arab-emirates-u23-it/2022,https://www.procyclingstats.com/race/national-championships-united-arab-emirates-u23-it/2022,MU - Men U23,,131,,0,,,,,,,,,,,,,,,,,,,,,
410,245,National Championships United Arab Emirates U23 - Road Race,2022-03-13,2022-03-13,One day race,,One day race,NC,ae,https://www.procyclingstats.com/race/nc-united-arab-emirates-u23-rr/2022,https://www.procyclingstats.com/race/nc-united-arab-emirates-u23-rr/2022,MU - Men U23,None,132,,0,,,,,,,,,,,,,,,,,,,,,
411,246,National Championships Uruguay U23 - ITT,2022-03-12,2022-03-12,One day race,,One day race,NC,uy,https://www.procyclingstats.com/race/national-championships-uruguay-u23-itt/2022,https://www.procyclingstats.com/race/national-championships-uruguay-u23-itt/2022,MU - Men U23,,131,,0,,Maldonado,Maldonado,,,,,,,,,,,,,,,,,,
412,247,National Championships Australia MJ - ITT,2022-01-12,2022-01-12,Time trial,,Time trial,NC,au,https://www.procyclingstats.com/race/nc-australia-mj-itt/2022,https://www.procyclingstats.com/race/nc-australia-mj-itt/2022,MJ - Men Juniors,J-NC2.TT,212,,0,,Ballarat,Ballarat,,46.166,18800.0,,,,,,,,,,,,,,,
413,248,National Championships Australia MJ - Road Race,2022-01-15,2022-01-15,One day race,,One day race,NC,au,https://www.procyclingstats.com/race/nc-australia-mj/2022,https://www.procyclingstats.com/race/nc-australia-mj/2022,MJ - Men Juniors,J-NC2,212,,0,,Buninyong,Buninyong,,37.708,104400.0,,,,,,,,,,,,,,,
414,249,National Championships Chile MJ - ITT,2022-04-01,2022-04-01,Time trial,,Time trial,NC,cl,https://www.procyclingstats.com/race/nc-chile-mj-itt/2022,https://www.procyclingstats.com/race/nc-chile-mj-itt/2022,MJ - Men Juniors,J-NC2.TT,215,,0,,,,,,,,,,,,,,,,,,,,,
415,250,National Championships Chile MJ - Road Race,2022-04-02,2022-04-02,One day race,,One day race,NC,cl,https://www.procyclingstats.com/race/nc-chile-mj/2022,https://www.procyclingstats.com/race/nc-chile-mj/2022,MJ - Men Juniors,J-NC2,215,,0,,,,,,,,,,,,,,,,,,,,,
