stage_id,race_id,race_name,race_date,stage_date,stage_name,stage_number,stage_type,classification,nation,race_link,stage_link,race_category,stage_points_scale,stage_ranking,profile_score,parcours_type,parcours_type_name,pcs_city_start,pcs_city_finish,start_time,avg_speed_winner,distance,elevation_gain,elevation_loss,elevation_average,elevation_maximum,elevation_minimum,temp_avg,temp_max,temp_min,_1000_to_1500_m,_1500_to_2000_m,_2000_to_2500_m,_2500_to_3000_m,_3000_to_3500_m,race_total_distance,race_total_elevation_gain,race_oldest_pcs_link
3257,2022,Volta a Portugal em Bicicleta Liberty Seguros,2014-07-30,2014-08-03,Stage 4,4,Stage,2.1,pt,https://www.procyclingstats.com/race/volta-a-portugal/2014,https://www.procyclingstats.com/race/volta-a-portugal/2014/stage-4,ME - Men Elite,2.1.Stage,183,,5,"Mountains, uphill finish",Boticas,Mondim de Basto,,36.31,192500.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-a-portugal/1927
3258,2022,Volta a Portugal em Bicicleta Liberty Seguros,2014-07-30,2014-08-04,Stage 5,5,Stage,2.1,pt,https://www.procyclingstats.com/race/volta-a-portugal/2014,https://www.procyclingstats.com/race/volta-a-portugal/2014/stage-5,ME - Men Elite,2.1.Stage,183,,5,"Mountains, uphill finish",Alvarenga,Santo Tirso,,38.81,161300.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-a-portugal/1927
3259,2022,Volta a Portugal em Bicicleta Liberty Seguros,2014-07-30,2014-08-05,Stage 6,6,Stage,2.1,pt,https://www.procyclingstats.com/race/volta-a-portugal/2014,https://www.procyclingstats.com/race/volta-a-portugal/2014/stage-6,ME - Men Elite,2.1.Stage,183,,4,"Mountains, flat finish",Oliveira do Bairro,Viseu,,38.26,155000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-a-portugal/1927
3260,2022,Volta a Portugal em Bicicleta Liberty Seguros,2014-07-30,2014-08-07,Stage 7,7,Stage,2.1,pt,https://www.procyclingstats.com/race/volta-a-portugal/2014,https://www.procyclingstats.com/race/volta-a-portugal/2014/stage-7,ME - Men Elite,2.1.Stage,183,,5,"Mountains, uphill finish",Belmonte,Torre,,33.75,172500.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-a-portugal/1927
3261,2022,Volta a Portugal em Bicicleta Liberty Seguros,2014-07-30,2014-08-08,Stage 8,8,Stage,2.1,pt,https://www.procyclingstats.com/race/volta-a-portugal/2014,https://www.procyclingstats.com/race/volta-a-portugal/2014/stage-8,ME - Men Elite,2.1.Stage,183,,2,"Hills, flat finish",Sabugal,Castelo Branco,,40.37,194000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-a-portugal/1927
3262,2022,Volta a Portugal em Bicicleta Liberty Seguros,2014-07-30,2014-08-09,Stage 9 (ITT),9,Individual Time Trial,2.1,pt,https://www.procyclingstats.com/race/volta-a-portugal/2014,https://www.procyclingstats.com/race/volta-a-portugal/2014/stage-9,ME - Men Elite,2.1.Stage,183,,2,"Hills, flat finish",Oleiros,Serta,,49.38,28900.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-a-portugal/1927
3263,2022,Volta a Portugal em Bicicleta Liberty Seguros,2014-07-30,2014-08-10,Stage 10,10,Stage,2.1,pt,https://www.procyclingstats.com/race/volta-a-portugal/2014,https://www.procyclingstats.com/race/volta-a-portugal/2014/stage-10,ME - Men Elite,2.1.Stage,183,,2,"Hills, flat finish",Burinhosa (Pataias),Lisboa,,40.37,167100.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-a-portugal/1927
3264,2023,Volta ao Algarve,2014-02-19,2014-02-19,Stage 1,1,Stage,2.1,pt,https://www.procyclingstats.com/race/volta-ao-algarve/2014,https://www.procyclingstats.com/race/volta-ao-algarve/2014/stage-1,ME - Men Elite,2.1.Stage,44,,2,"Hills, flat finish",Faro,Albufeira,,41.42,160000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-ao-algarve/1936
3265,2023,Volta ao Algarve,2014-02-19,2014-02-20,Stage 2,2,Stage,2.1,pt,https://www.procyclingstats.com/race/volta-ao-algarve/2014,https://www.procyclingstats.com/race/volta-ao-algarve/2014/stage-2,ME - Men Elite,2.1.Stage,44,,2,"Hills, flat finish",Lagoa,Monchique,,39.47,196000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-ao-algarve/1936
3266,2023,Volta ao Algarve,2014-02-19,2014-02-21,Stage 3 (ITT),3,Individual Time Trial,2.1,pt,https://www.procyclingstats.com/race/volta-ao-algarve/2014,https://www.procyclingstats.com/race/volta-ao-algarve/2014/stage-3,ME - Men Elite,2.1.Stage,44,,1,Flat,Vila do Bispo,Sagres,,58.08,13600.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-ao-algarve/1936
