team_name,pcs_link
Trust House Team,https://www.procyclingstats.com/team/trust-house-team-2020
Velofit Australia,https://www.procyclingstats.com/team/velofit-australia-2020
Cabjaks - Castelli,https://www.procyclingstats.com/team/cabjaks-castelli-2020
WBS Cycling Team,https://www.procyclingstats.com/team/wbs-cycling-team-2020
Rally Cycling Women,https://www.procyclingstats.com/team/rally-cycling-women-2020
Roxsolt Attaquer,https://www.procyclingstats.com/team/roxsolt-attaquer-2020
Bepink ,https://www.procyclingstats.com/team/bepink-2020
Astana Womens Team,https://www.procyclingstats.com/team/astana-womens-team-2020
Specialized Women's Racing,https://www.procyclingstats.com/team/specialized-women-s-racing-2020
UniSA-Australia,https://www.procyclingstats.com/team/unisa-australia-2020
Doltcini - Van Eyck Sport,https://www.procyclingstats.com/team/doltcini-van-eyck-sport-2020
Agolico,https://www.procyclingstats.com/team/agolico-2020
Eritrea,https://www.procyclingstats.com/team/eritrea-2020
Algeria,https://www.procyclingstats.com/team/algeria-2020
Morocco,https://www.procyclingstats.com/team/morocco-2020
Rwanda,https://www.procyclingstats.com/team/rwanda-2020
Burkina Faso,https://www.procyclingstats.com/team/burkina-faso-2020
Cameroon,https://www.procyclingstats.com/team/cameroun-2020
Ivory Coast,https://www.procyclingstats.com/team/ivory-coast-2020
Gabon,https://www.procyclingstats.com/team/gabon-2020
Kazakhstan,https://www.procyclingstats.com/team/kazakhstan-2020
Belarus,https://www.procyclingstats.com/team/belarus-2020
Ukraine,https://www.procyclingstats.com/team/ukraine-2020
Team Skoda Fruzio,https://www.procyclingstats.com/team/team-skoda-fruzio-2020
Russia,https://www.procyclingstats.com/team/russia-2020
Argentina,https://www.procyclingstats.com/team/argentina-2020
Sindicato de Empleados Públicos of San Juan,https://www.procyclingstats.com/team/sindicato-empleados-publicos-of-san-juan-2020
Italy,https://www.procyclingstats.com/team/italy-2020
Brazil,https://www.procyclingstats.com/team/brasil-2020
Venezuela,https://www.procyclingstats.com/team/venezuela-2020
Panama,https://www.procyclingstats.com/team/panama-2020
Agrupación Virgen de Fatima,https://www.procyclingstats.com/team/agrupacion-virgen-de-fatima-2020
Peru,https://www.procyclingstats.com/team/peru-2020
Korda Mentha Real Estate Australia,https://www.procyclingstats.com/team/korda-mentha-real-estate-australia-2020
Switzerland,https://www.procyclingstats.com/team/switzerland-2020
Bepink ,https://www.procyclingstats.com/team/bepink-2019
UniSA-Australia,https://www.procyclingstats.com/team/unisa-australia-2019
New Zealand,https://www.procyclingstats.com/team/new-zealand-2019
Alé Cipollini ,https://www.procyclingstats.com/team/ala-cipollini-2019
Sydney University,https://www.procyclingstats.com/team/sydney-university-2019
Swapit Agolico,https://www.procyclingstats.com/team/swapit-agolico-2019
Doltcini - Van Eyck Sport,https://www.procyclingstats.com/team/doltcini-van-eyck-sport-2019
Rally UHC Cycling Women,https://www.procyclingstats.com/team/rally-uhc-cycling-women-2019
Specialized Women's Racing,https://www.procyclingstats.com/team/specialized-women-s-racing-2019
Astana Womens Team,https://www.procyclingstats.com/team/astana-womens-team-2019
Gusto StepFWD KOM,https://www.procyclingstats.com/team/gusto-stepfwd-kom-2019
Gobierno De Miranda Trek,https://www.procyclingstats.com/team/gobierno-de-miranda-trek-2019
Grupo JHS,https://www.procyclingstats.com/team/grupo-jhs-2019
Miche ,https://www.procyclingstats.com/team/miche-2010
Loborika ,https://www.procyclingstats.com/team/loborika-2010
Geumsan Ginseng Asia ,https://www.procyclingstats.com/team/geumsan-ginseng-asia-2010
Kelly Benefit Strategies ,https://www.procyclingstats.com/team/kelly-benefit-strategies-2010
Team Type 1 ,https://www.procyclingstats.com/team/team-type-1-2010
Team Katusha ,https://www.procyclingstats.com/team/team-katusha-2010
Verandas Willems ,https://www.procyclingstats.com/team/verandas-willems-2010
Omega Pharma-Lotto ,https://www.procyclingstats.com/team/omega-pharma-lotto-2010
Team HTC - Columbia ,https://www.procyclingstats.com/team/team-htc-columbia-2010
Saxo Bank ,https://www.procyclingstats.com/team/saxo-bank-2010
Safi - Pasta Zara ,https://www.procyclingstats.com/team/safi-pasta-zara-2010
Lointek ,https://www.procyclingstats.com/team/lointek-2010
ESGL 93 - GSD Gestion,https://www.procyclingstats.com/team/esgl-93-gsd-gestion-2010
Kuota Speed Kueens,https://www.procyclingstats.com/team/kuota-speed-kueens-2010
S.C. Michela Fanini Rox,https://www.procyclingstats.com/team/s.c.-michela-fanini-rox-2010
Team Neotel ,https://www.procyclingstats.com/team/team-neotel-2010
Sigma Sport - Specialized ,https://www.procyclingstats.com/team/sigma-sport-specialized-2010
Team Differdange ,https://www.procyclingstats.com/team/team-differdange-2010
Mountain Khakis fueled by Jittery Joe’s ,https://www.procyclingstats.com/team/mountain-khakis-fueled-by-jittery-joe-s-2010
Telenet - Fidea ,https://www.procyclingstats.com/team/telenet-fidea-2010
MTN Energade Ladies Teams ,https://www.procyclingstats.com/team/mtn-energade-ladies-teams-2010
Vaiano - Riverauto,https://www.procyclingstats.com/team/vaiano-riverauto-2010
Obrazi Delo Revije ,https://www.procyclingstats.com/team/obrazi-delo-revije-2010
Netherlands,https://www.procyclingstats.com/team/netherlands-2010
Australia,https://www.procyclingstats.com/team/australia-2010
Great Britain,https://www.procyclingstats.com/team/great-britain-2010
Russia,https://www.procyclingstats.com/team/russia-2010
United States,https://www.procyclingstats.com/team/united-states-2010
Italy,https://www.procyclingstats.com/team/italy-national-team-2010
Slovenia,https://www.procyclingstats.com/team/slovenia-2010
ACS Chirio - Forno D'Asolo,https://www.procyclingstats.com/team/acs-chirio-forno-d-asolo-2010
Feniks - Petrogradets,https://www.procyclingstats.com/team/petrogradets-2010
Germany,https://www.procyclingstats.com/team/germany-2010
KED - Bianchi Rad - Team Berlin,https://www.procyclingstats.com/team/ked-bianchi-rad-team-berlin-2010
Rad-Team Hamburg,https://www.procyclingstats.com/team/rad-team-hamburg-2010
