team_id,season,team_gen_id,team_name,team_class,team_oldest_pcs_link,pcs_link,team_pcs_id
254,2004,54731,Illes Balears - Banesto,TT1,https://www.procyclingstats.com/team/reynolds-benotto-1980,https://www.procyclingstats.com/team/illes-balears-banesto-2004/overview/,2040.0
257,2001,54731,iBanesto.com,TT1,https://www.procyclingstats.com/team/reynolds-benotto-1980,https://www.procyclingstats.com/team/ibanesto.com-2001/overview/,2040.0
268,1990,54731,Banesto,TT1,https://www.procyclingstats.com/team/reynolds-benotto-1980,https://www.procyclingstats.com/team/banesto-1990/overview/,2040.0
269,1989,54731,Reynolds - Banesto,,https://www.procyclingstats.com/team/reynolds-benotto-1980,https://www.procyclingstats.com/team/reynolds-banesto-1989/overview/,2040.0
271,1987,54731,Reynolds - Seur,,https://www.procyclingstats.com/team/reynolds-benotto-1980,https://www.procyclingstats.com/team/reynolds-1987/overview/,2040.0
275,1983,54731,Reynolds,,https://www.procyclingstats.com/team/reynolds-benotto-1980,https://www.procyclingstats.com/team/reynolds-1983/overview/,2040.0
277,1981,54731,Reynolds - Galli,,https://www.procyclingstats.com/team/reynolds-benotto-1980,https://www.procyclingstats.com/team/reynolds-galli-1981/overview/,2040.0
278,1980,54731,Reynolds - Benotto,,https://www.procyclingstats.com/team/reynolds-benotto-1980,https://www.procyclingstats.com/team/reynolds-benotto-1980/overview/,2040.0
279,2021,92153,Inteja Imca DCT,,https://www.procyclingstats.com/team/inteja-mmr-dominican-cycling-team-2015,https://www.procyclingstats.com/team/inteja-imca-dct-2021/overview/,2728.0
280,2019,92153,Inteja Imca Ridea DCT,CT,https://www.procyclingstats.com/team/inteja-mmr-dominican-cycling-team-2015,https://www.procyclingstats.com/team/inteja-imca-ridea-dct-2019/overview/,2728.0
282,2017,92153,Inteja Dominican Cycling Team,CT,https://www.procyclingstats.com/team/inteja-mmr-dominican-cycling-team-2015,https://www.procyclingstats.com/team/inteja-dominican-cycling-team-2017/overview/,2728.0
283,2016,92153,Inteja-MMR Dominican Cycling Team,CT,https://www.procyclingstats.com/team/inteja-mmr-dominican-cycling-team-2015,https://www.procyclingstats.com/team/inteja-mmr-dominican-cycling-team-2016/overview/,2728.0
284,2015,92153,Inteja - MMR Dominican Cycling Team,CT,https://www.procyclingstats.com/team/inteja-mmr-dominican-cycling-team-2015,https://www.procyclingstats.com/team/inteja-mmr-dominican-cycling-team-2015/overview/,2728.0
287,2001,94187,O.N.C.E. - Eroski,TT1,https://www.procyclingstats.com/team/o.n.c.e.-look-mavic-1989,https://www.procyclingstats.com/team/o.n.c.e.-eroski-2001/overview/,1301.0
290,1998,94187,O.N.C.E. - Deutsche Bank,TT1,https://www.procyclingstats.com/team/o.n.c.e.-look-mavic-1989,https://www.procyclingstats.com/team/once-1998/overview/,1301.0
291,1997,94187,ONCE,TT1,https://www.procyclingstats.com/team/o.n.c.e.-look-mavic-1989,https://www.procyclingstats.com/team/once-1997/overview/,1301.0
293,1995,94187,O.N.C.E.,TT1,https://www.procyclingstats.com/team/o.n.c.e.-look-mavic-1989,https://www.procyclingstats.com/team/o.n.c.e.-1995/overview/,1301.0
299,1989,94187,O.N.C.E. - Look - Mavic,TT1,https://www.procyclingstats.com/team/o.n.c.e.-look-mavic-1989,https://www.procyclingstats.com/team/o.n.c.e.-look-mavic-1989/overview/,1301.0
