cyclist_id,pcs_link,strava_link,strava_id
451,https://www.procyclingstats.com/rider/angel-madrazo,https://www.strava.com/pros/1870992,1870992
466,https://www.procyclingstats.com/rider/anthon-charmig,https://www.strava.com/athletes/4027056,4027056
468,https://www.procyclingstats.com/rider/anthony-delaplace,https://www.strava.com/pros/12853663,12853663
470,https://www.procyclingstats.com/rider/anthony-jullien,https://www.strava.com/athletes/2987896,2987896
474,https://www.procyclingstats.com/rider/anthony-perez,https://www.strava.com/athletes/1678917,1678917
479,https://www.procyclingstats.com/rider/antoine-duchesne,https://www.strava.com/pros/1786916,1786916
481,https://www.procyclingstats.com/rider/antoine-raugel,https://www.strava.com/athletes/60143625,60143625
488,https://www.procyclingstats.com/rider/anton-palzer,https://www.strava.com/pros/30466500,30466500
528,https://www.procyclingstats.com/rider/antonio-nibali,https://www.strava.com/pros/1785181,1785181
544,https://www.procyclingstats.com/rider/antonio-soto,https://www.strava.com/athletes/4076156,4076156
546,https://www.procyclingstats.com/rider/antonio-tiberi,https://www.strava.com/athletes/13764349,13764349
557,https://www.procyclingstats.com/rider/aritz-bagues,https://www.strava.com/pros/1126708,1126708
559,https://www.procyclingstats.com/rider/arjen-livyns,https://www.strava.com/pros/1614461,1614461
570,https://www.procyclingstats.com/rider/arnaud-de-lie,https://www.strava.com/athletes/28980231,28980231
571,https://www.procyclingstats.com/rider/arnaud-demare,https://www.strava.com/pros/1737657,1737657
577,https://www.procyclingstats.com/rider/arne-marit,https://www.strava.com/pros/37379741,37379741
585,https://www.procyclingstats.com/rider/artem-nych,https://www.strava.com/athletes/27139866,27139866
596,https://www.procyclingstats.com/rider/arvid-de-kleijn,https://www.strava.com/pros/45180733,45180733
599,https://www.procyclingstats.com/rider/asbjorn-hellemose,https://www.strava.com/athletes/5502015,5502015
611,https://www.procyclingstats.com/rider/attila-valter,https://www.strava.com/athletes/3046537,3046537
613,https://www.procyclingstats.com/rider/august-jensen,https://www.strava.com/athletes/18311935,18311935
617,https://www.procyclingstats.com/rider/aurelien-paret-peintre,https://www.strava.com/pros/1821678,1821678
622,https://www.procyclingstats.com/rider/axel-zingle,https://www.strava.com/athletes/6973093,6973093
626,https://www.procyclingstats.com/rider/barnabas-peak,https://www.strava.com/athletes/7650668,7650668
630,https://www.procyclingstats.com/rider/barry-markus,https://www.strava.com/pros/2373107,2373107
640,https://www.procyclingstats.com/rider/bartosz-huzarski,https://www.strava.com/athletes/20520175,20520175
652,https://www.procyclingstats.com/rider/ben-healy,https://www.strava.com/athletes/1754389,1754389
653,https://www.procyclingstats.com/rider/ben-hermans,https://www.strava.com/athletes/593390,593390
655,https://www.procyclingstats.com/rider/ben-o-connor,https://www.strava.com/athletes/4097457,4097457
